,wells,sampleids,xp_factor_0,xp_factor_1,xp_factor_2,biol_rep,techinical replicat,gene,gene_type,ct_vals
1,1,sample1,WT,Root,control,1,A,SAND,reference,23.4967
2,2,sample2,WT,Root,control,1,B,SAND,reference,23.1456
3,3,sample3,WT,Root,drought,1,A,SAND,reference,25.2589
4,4,sample4,WT,Root,drought,1,B,SAND,reference,22.7291
5,5,sample5,WT,Root,control,2,A,SAND,reference,22.2659
6,6,sample6,WT,Root,control,2,B,SAND,reference,26.2303
7,7,sample7,WT,Root,drought,2,A,SAND,reference,23.214
8,8,sample8,WT,Root,drought,2,B,SAND,reference,23.0365
9,9,sample9,WT,Root,control,3,A,SAND,reference,27.6013
10,10,sample10,WT,Root,control,3,B,SAND,reference,25.0204
11,11,sample11,WT,Root,drought,3,A,SAND,reference,25.3949
12,12,sample12,WT,Root,drought,3,B,SAND,reference,24.7738
13,13,sample13,WT,Root,control,4,A,SAND,reference,23.4227
14,14,sample14,WT,Root,control,4,B,SAND,reference,24.3951
15,15,sample15,WT,Root,drought,4,A,SAND,reference,25.3254
16,16,sample16,WT,Root,drought,4,B,SAND,reference,23.5647
17,17,sample17,WT,shoot,control,1,A,SAND,reference,24.515
18,18,sample18,WT,shoot,control,1,B,SAND,reference,25.1362
19,19,sample19,WT,shoot,drought,1,A,SAND,reference,24.1723
20,20,sample20,WT,shoot,drought,1,B,SAND,reference,25.2669
21,21,sample21,WT,shoot,control,2,A,SAND,reference,25.859
22,22,sample22,WT,shoot,control,2,B,SAND,reference,26.3599
23,23,sample23,WT,shoot,drought,2,A,SAND,reference,26.3244
24,24,sample24,WT,shoot,drought,2,B,SAND,reference,25.4873
25,25,sample25,WT,shoot,control,3,A,SAND,reference,27.353
26,26,sample26,WT,shoot,control,3,B,SAND,reference,23.6306
27,27,sample27,WT,shoot,drought,3,A,SAND,reference,21.6857
28,28,sample28,WT,shoot,drought,3,B,SAND,reference,27.1003
29,29,sample29,WT,shoot,control,4,A,SAND,reference,
30,30,sample30,WT,shoot,control,4,B,SAND,reference,21.8111
31,31,sample31,WT,shoot,drought,4,A,SAND,reference,25.1388
32,32,sample32,WT,shoot,drought,4,B,SAND,reference,25.4164
33,33,sample33,WT,Root,control,1,A,RD29A,target,25.9313
34,34,sample34,WT,Root,control,1,B,RD29A,target,24.4803
35,35,sample35,WT,Root,drought,1,A,RD29A,target,26.0056
36,36,sample36,WT,Root,drought,1,B,RD29A,target,27.2733
37,37,sample37,WT,Root,control,2,A,RD29A,target,26.2119
38,38,sample38,WT,Root,control,2,B,RD29A,target,24.632
39,39,sample39,WT,Root,drought,2,A,RD29A,target,24.0927
40,40,sample40,WT,Root,drought,2,B,RD29A,target,23.9612
41,41,sample41,WT,Root,control,3,A,RD29A,target,24.862
42,42,sample42,WT,Root,control,3,B,RD29A,target,27.218
43,43,sample43,WT,Root,drought,3,A,RD29A,target,28.5371
44,44,sample44,WT,Root,drought,3,B,RD29A,target,29.1448
45,45,sample45,WT,Root,control,4,A,RD29A,target,25.9543
46,46,sample46,WT,Root,control,4,B,RD29A,target,26.0718
47,47,sample47,WT,Root,drought,4,A,RD29A,target,25.0594
48,48,sample48,WT,Root,drought,4,B,RD29A,target,24.4731
49,49,sample49,WT,shoot,control,1,A,RD29A,target,24.0838
50,50,sample50,WT,shoot,control,1,B,RD29A,target,22.3992
51,51,sample51,WT,shoot,drought,1,A,RD29A,target,21.6002
52,52,sample52,WT,shoot,drought,1,B,RD29A,target,22.113
53,53,sample53,WT,shoot,control,2,A,RD29A,target,25.2172
54,54,sample54,WT,shoot,control,2,B,RD29A,target,26.0267
55,55,sample55,WT,shoot,drought,2,A,RD29A,target,19.8264
56,56,sample56,WT,shoot,drought,2,B,RD29A,target,20.7617
57,57,sample57,WT,shoot,control,3,A,RD29A,target,23.6538
58,58,sample58,WT,shoot,control,3,B,RD29A,target,22.4427
59,59,sample59,WT,shoot,drought,3,A,RD29A,target,21.9777
60,60,sample60,WT,shoot,drought,3,B,RD29A,target,25.84
61,61,sample61,WT,shoot,control,4,A,RD29A,target,24.8712
62,62,sample62,WT,shoot,control,4,B,RD29A,target,24.4188
63,63,sample63,WT,shoot,drought,4,A,RD29A,target,23.0296
64,64,sample64,WT,shoot,drought,4,B,RD29A,target,20.3709
65,65,sample65,WT,Root,control,1,A,RD29B,target,31.7821
66,66,sample66,WT,Root,control,1,B,RD29B,target,25.6451
67,67,sample67,WT,Root,drought,1,A,RD29B,target,25.512
68,68,sample68,WT,Root,drought,1,B,RD29B,target,26.3541
69,69,sample69,WT,Root,control,2,A,RD29B,target,32.4608
70,70,sample70,WT,Root,control,2,B,RD29B,target,33.8383
71,71,sample71,WT,Root,drought,2,A,RD29B,target,28.0904
72,72,sample72,WT,Root,drought,2,B,RD29B,target,34.1953
73,73,sample73,WT,Root,control,3,A,RD29B,target,30.7792
74,74,sample74,WT,Root,control,3,B,RD29B,target,30.573
75,75,sample75,WT,Root,drought,3,A,RD29B,target,35.2842
76,76,sample76,WT,Root,drought,3,B,RD29B,target,26.4677
77,77,sample77,WT,Root,control,4,A,RD29B,target,32.5025
78,78,sample78,WT,Root,control,4,B,RD29B,target,33.8239
79,79,sample79,WT,Root,drought,4,A,RD29B,target,32.755
80,80,sample80,WT,Root,drought,4,B,RD29B,target,32.2583
81,81,sample81,WT,shoot,control,1,A,RD29B,target,28.0319
82,82,sample82,WT,shoot,control,1,B,RD29B,target,30.5573
83,83,sample83,WT,shoot,drought,1,A,RD29B,target,29.6976
84,84,sample84,WT,shoot,drought,1,B,RD29B,target,28.2652
85,85,sample85,WT,shoot,control,2,A,RD29B,target,32.2537
86,86,sample86,WT,shoot,control,2,B,RD29B,target,33.2582
87,87,sample87,WT,shoot,drought,2,A,RD29B,target,31.3078
88,88,sample88,WT,shoot,drought,2,B,RD29B,target,30.598
89,89,sample89,WT,shoot,control,3,A,RD29B,target,31.6246
90,90,sample90,WT,shoot,control,3,B,RD29B,target,32.1317
91,91,sample91,WT,shoot,drought,3,A,RD29B,target,26.5974
92,92,sample92,WT,shoot,drought,3,B,RD29B,target,32.1804
93,93,sample93,WT,shoot,control,4,A,RD29B,target,32.9173
94,94,sample94,WT,shoot,control,4,B,RD29B,target,33.6098
95,95,sample95,WT,shoot,drought,4,A,RD29B,target,29.7392
96,96,sample96,WT,shoot,drought,4,B,RD29B,target,29.3231
97,97,sample97,WT,Root,control,1,A,DREB2A,target,25.0182
98,98,sample98,WT,Root,control,1,B,DREB2A,target,24.9562
99,99,sample99,WT,Root,drought,1,A,DREB2A,target,25.3213
100,100,sample100,WT,Root,drought,1,B,DREB2A,target,24.1347
101,101,sample101,WT,Root,control,2,A,DREB2A,target,24.5473
102,102,sample102,WT,Root,control,2,B,DREB2A,target,24.4551
103,103,sample103,WT,Root,drought,2,A,DREB2A,target,24.9916
104,104,sample104,WT,Root,drought,2,B,DREB2A,target,25.0367
105,105,sample105,WT,Root,control,3,A,DREB2A,target,25.2042
106,106,sample106,WT,Root,control,3,B,DREB2A,target,23.6702
107,107,sample107,WT,Root,drought,3,A,DREB2A,target,27.6494
108,108,sample108,WT,Root,drought,3,B,DREB2A,target,26.7652
109,109,sample109,WT,Root,control,4,A,DREB2A,target,25.6491
110,110,sample110,WT,Root,control,4,B,DREB2A,target,24.464
111,111,sample111,WT,Root,drought,4,A,DREB2A,target,25.1371
112,112,sample112,WT,Root,drought,4,B,DREB2A,target,24.4536
113,113,sample113,WT,shoot,control,1,A,DREB2A,target,25.4164
114,114,sample114,WT,shoot,control,1,B,DREB2A,target,25.2792
115,115,sample115,WT,shoot,drought,1,A,DREB2A,target,23.9488
116,116,sample116,WT,shoot,drought,1,B,DREB2A,target,22.8555
117,117,sample117,WT,shoot,control,2,A,DREB2A,target,28.8261
118,118,sample118,WT,shoot,control,2,B,DREB2A,target,28.0167
119,119,sample119,WT,shoot,drought,2,A,DREB2A,target,26.1453
120,120,sample120,WT,shoot,drought,2,B,DREB2A,target,25.0048
121,121,sample121,WT,shoot,control,3,A,DREB2A,target,28.0494
122,122,sample122,WT,shoot,control,3,B,DREB2A,target,25.7055
123,123,sample123,WT,shoot,drought,3,A,DREB2A,target,28.319
124,124,sample124,WT,shoot,drought,3,B,DREB2A,target,26.3377
125,125,sample125,WT,shoot,control,4,A,DREB2A,target,25.4173
126,126,sample126,WT,shoot,control,4,B,DREB2A,target,24.8615
