,SAND,LHCB2.1
WT C,26.0922,19.4469
WT C,26.05,19.1753
WT C,27.4216,23.6028
WT C,27.5206,23.4914
WT C,25.3052,19.3671
WT C,25.1238,18.7451
WT C,24.6696,18.6863
WT C,24.9053,18.2197
PLC2 C,26.1248,19.9966
PLC2 C,26.094,19.499
PLC2 C,22.2381,19.1864
PLC2 C,22.1601,16.0387
PLC2 C,24.181,22.4828
PLC2 C,24.2336,17.6633
PLC2 C,25.2393,19.928
PLC2 C,25.3836,19.0396
PLC5 C,26.1468,21.4788
PLC5 C,26.0021,21.1045
PLC5 C,23.9775,19.3533
PLC5 C,23.9155,19.1098
PLC5 C,23.913,19.4126
PLC5 C,23.9927,20.8771
PLC5 C,27.3205,23.6042
PLC5 C,27.4557,24.9132
PLC7 C,25.3731,22.0437
PLC7 C,25.5764,21.3873
PLC7 C,25.631,21.6377
PLC7 C,25.9154,21.511
PLC7 C,23.6564,21.0694
PLC7 C,24.147,21.1096
PLC7 C,23.7768,20.7055
PLC7 C,23.8375,21.2495
WT D,25.4227,22.0163
WT D,25.3759,21.1441
WT D,24.0182,17.1318
WT D,23.004,17.0175
WT D,25.4774,19.3044
WT D,25.3759,20.0361
WT D,24.7613,18.083
WT D,24.4168,18.0085
PLC2 D,25.7495,22.4734
PLC2 D,25.4094,19.5661
PLC2 D,24.9384,19.1086
PLC2 D,24.953,19.1769
PLC5 D,26.7363,21.5135
PLC5 D,26.4892,21.9428
PLC5 D,24.8403,20.0326
PLC5 D,24.9769,20.0397
PLC5 D,25.6955,21.839
PLC5 D,25.951,21.2859
PLC5 D,24.3965,24.0563
PLC5 D,24.8629,21.3598
PLC7 D,25.2979,21.9576
PLC7 D,25.7699,22.7533
PLC7 D,25.6782,22.3899
PLC7 D,27.8935,22.6036
PLC7 D,27.0075,22.0603
PLC7 D,25.0764,23.051
PLC7 D,25.335,23.6573
