wells	sampleids	xp_factor_1	xp_factor_2	biol_rep	tech_rep	gene	gene_type	ct_vals
1	sample1	Root	control	1	A	SAND	reference	23.4967
2	sample2	Root	control	1	B	SAND	reference	23.1456
3	sample3	Root	drought	1	A	SAND	reference	25.2589
4	sample4	Root	drought	1	B	SAND	reference	22.7291
5	sample5	Root	control	2	A	SAND	reference	22.2659
6	sample6	Root	control	2	B	SAND	reference	26.2303
7	sample7	Root	drought	2	A	SAND	reference	23.214
8	sample8	Root	drought	2	B	SAND	reference	23.0365
9	sample9	Root	control	3	A	SAND	reference	27.6013
10	sample10	Root	control	3	B	SAND	reference	25.0204
11	sample11	Root	drought	3	A	SAND	reference	25.3949
12	sample12	Root	drought	3	B	SAND	reference	24.7738
13	sample13	Root	control	4	A	SAND	reference	23.4227
14	sample14	Root	control	4	B	SAND	reference	24.3951
15	sample15	Root	drought	4	A	SAND	reference	25.3254
16	sample16	Root	drought	4	B	SAND	reference	23.5647
17	sample17	shoot	control	1	A	SAND	reference	24.515
18	sample18	shoot	control	1	B	SAND	reference	25.1362
19	sample19	shoot	drought	1	A	SAND	reference	24.1723
20	sample20	shoot	drought	1	B	SAND	reference	25.2669
21	sample21	shoot	control	2	A	SAND	reference	25.859
22	sample22	shoot	control	2	B	SAND	reference	26.3599
23	sample23	shoot	drought	2	A	SAND	reference	26.3244
24	sample24	shoot	drought	2	B	SAND	reference	25.4873
25	sample25	shoot	control	3	A	SAND	reference	27.353
26	sample26	shoot	control	3	B	SAND	reference	23.6306
27	sample27	shoot	drought	3	A	SAND	reference	21.6857
28	sample28	shoot	drought	3	B	SAND	reference	27.1003
29	sample29	shoot	control	4	A	SAND	reference	NA
30	sample30	shoot	control	4	B	SAND	reference	21.8111
31	sample31	shoot	drought	4	A	SAND	reference	25.1388
32	sample32	shoot	drought	4	B	SAND	reference	25.4164
33	sample33	Root	control	1	A	RD29A	target	25.9313
34	sample34	Root	control	1	B	RD29A	target	24.4803
35	sample35	Root	drought	1	A	RD29A	target	26.0056
36	sample36	Root	drought	1	B	RD29A	target	27.2733
37	sample37	Root	control	2	A	RD29A	target	26.2119
38	sample38	Root	control	2	B	RD29A	target	24.632
39	sample39	Root	drought	2	A	RD29A	target	24.0927
40	sample40	Root	drought	2	B	RD29A	target	23.9612
41	sample41	Root	control	3	A	RD29A	target	24.862
42	sample42	Root	control	3	B	RD29A	target	27.218
43	sample43	Root	drought	3	A	RD29A	target	28.5371
44	sample44	Root	drought	3	B	RD29A	target	29.1448
45	sample45	Root	control	4	A	RD29A	target	25.9543
46	sample46	Root	control	4	B	RD29A	target	26.0718
47	sample47	Root	drought	4	A	RD29A	target	25.0594
48	sample48	Root	drought	4	B	RD29A	target	24.4731
49	sample49	shoot	control	1	A	RD29A	target	24.0838
50	sample50	shoot	control	1	B	RD29A	target	22.3992
51	sample51	shoot	drought	1	A	RD29A	target	21.6002
52	sample52	shoot	drought	1	B	RD29A	target	22.113
53	sample53	shoot	control	2	A	RD29A	target	25.2172
54	sample54	shoot	control	2	B	RD29A	target	26.0267
55	sample55	shoot	drought	2	A	RD29A	target	19.8264
56	sample56	shoot	drought	2	B	RD29A	target	20.7617
57	sample57	shoot	control	3	A	RD29A	target	23.6538
58	sample58	shoot	control	3	B	RD29A	target	22.4427
59	sample59	shoot	drought	3	A	RD29A	target	21.9777
60	sample60	shoot	drought	3	B	RD29A	target	25.84
61	sample61	shoot	control	4	A	RD29A	target	24.8712
62	sample62	shoot	control	4	B	RD29A	target	24.4188
63	sample63	shoot	drought	4	A	RD29A	target	23.0296
64	sample64	shoot	drought	4	B	RD29A	target	20.3709
65	sample65	Root	control	1	A	RD29B	target	31.7821
66	sample66	Root	control	1	B	RD29B	target	25.6451
67	sample67	Root	drought	1	A	RD29B	target	25.512
68	sample68	Root	drought	1	B	RD29B	target	26.3541
69	sample69	Root	control	2	A	RD29B	target	32.4608
70	sample70	Root	control	2	B	RD29B	target	33.8383
71	sample71	Root	drought	2	A	RD29B	target	28.0904
72	sample72	Root	drought	2	B	RD29B	target	34.1953
73	sample73	Root	control	3	A	RD29B	target	30.7792
74	sample74	Root	control	3	B	RD29B	target	30.573
75	sample75	Root	drought	3	A	RD29B	target	35.2842
76	sample76	Root	drought	3	B	RD29B	target	26.4677
77	sample77	Root	control	4	A	RD29B	target	32.5025
78	sample78	Root	control	4	B	RD29B	target	33.8239
79	sample79	Root	drought	4	A	RD29B	target	32.755
80	sample80	Root	drought	4	B	RD29B	target	32.2583
81	sample81	shoot	control	1	A	RD29B	target	28.0319
82	sample82	shoot	control	1	B	RD29B	target	30.5573
83	sample83	shoot	drought	1	A	RD29B	target	29.6976
84	sample84	shoot	drought	1	B	RD29B	target	28.2652
85	sample85	shoot	control	2	A	RD29B	target	32.2537
86	sample86	shoot	control	2	B	RD29B	target	33.2582
87	sample87	shoot	drought	2	A	RD29B	target	31.3078
88	sample88	shoot	drought	2	B	RD29B	target	30.598
89	sample89	shoot	control	3	A	RD29B	target	31.6246
90	sample90	shoot	control	3	B	RD29B	target	32.1317
91	sample91	shoot	drought	3	A	RD29B	target	26.5974
92	sample92	shoot	drought	3	B	RD29B	target	32.1804
93	sample93	shoot	control	4	A	RD29B	target	32.9173
94	sample94	shoot	control	4	B	RD29B	target	33.6098
95	sample95	shoot	drought	4	A	RD29B	target	29.7392
96	sample96	shoot	drought	4	B	RD29B	target	29.3231
97	sample97	Root	control	1	A	DREB2A	target	25.0182
98	sample98	Root	control	1	B	DREB2A	target	24.9562
99	sample99	Root	drought	1	A	DREB2A	target	25.3213
100	sample100	Root	drought	1	B	DREB2A	target	24.1347
101	sample101	Root	control	2	A	DREB2A	target	24.5473
102	sample102	Root	control	2	B	DREB2A	target	24.4551
103	sample103	Root	drought	2	A	DREB2A	target	24.9916
104	sample104	Root	drought	2	B	DREB2A	target	25.0367
105	sample105	Root	control	3	A	DREB2A	target	25.2042
106	sample106	Root	control	3	B	DREB2A	target	23.6702
