wells	sampleids	xp_factor	biol_rep	tech_rep	gene	gene_type	ct_vals
1	sample1	Root	1	A	SAND	reference	23.4967
2	sample2	Root	1	B	SAND	reference	23.1456
5	sample5	Root	2	A	SAND	reference	22.2659
6	sample6	Root	2	B	SAND	reference	26.2303
9	sample9	Root	3	A	SAND	reference	27.6013
10	sample10	Root	3	B	SAND	reference	25.0204
13	sample13	Root	4	A	SAND	reference	23.4227
14	sample14	Root	4	B	SAND	reference	24.3951
17	sample17	shoot	1	A	SAND	reference	24.515
18	sample18	shoot	1	B	SAND	reference	25.1362
21	sample21	shoot	2	A	SAND	reference	25.859
22	sample22	shoot	2	B	SAND	reference	26.3599
25	sample25	shoot	3	A	SAND	reference	27.353
26	sample26	shoot	3	B	SAND	reference	23.6306
29	sample29	shoot	4	A	SAND	reference	NA
30	sample30	shoot	4	B	SAND	reference	21.8111
33	sample33	Root	1	A	RD29A	target	25.9313
34	sample34	Root	1	B	RD29A	target	24.4803
37	sample37	Root	2	A	RD29A	target	26.2119
38	sample38	Root	2	B	RD29A	target	24.632
41	sample41	Root	3	A	RD29A	target	24.862
42	sample42	Root	3	B	RD29A	target	27.218
45	sample45	Root	4	A	RD29A	target	25.9543
46	sample46	Root	4	B	RD29A	target	26.0718
49	sample49	shoot	1	A	RD29A	target	24.0838
50	sample50	shoot	1	B	RD29A	target	22.3992
53	sample53	shoot	2	A	RD29A	target	25.2172
54	sample54	shoot	2	B	RD29A	target	26.0267
57	sample57	shoot	3	A	RD29A	target	23.6538
58	sample58	shoot	3	B	RD29A	target	22.4427
61	sample61	shoot	4	A	RD29A	target	24.8712
62	sample62	shoot	4	B	RD29A	target	24.4188
65	sample65	Root	1	A	RD29B	target	31.7821
66	sample66	Root	1	B	RD29B	target	25.6451
69	sample69	Root	2	A	RD29B	target	32.4608
70	sample70	Root	2	B	RD29B	target	33.8383
73	sample73	Root	3	A	RD29B	target	30.7792
74	sample74	Root	3	B	RD29B	target	30.573
77	sample77	Root	4	A	RD29B	target	32.5025
78	sample78	Root	4	B	RD29B	target	33.8239
81	sample81	shoot	1	A	RD29B	target	28.0319
82	sample82	shoot	1	B	RD29B	target	30.5573
85	sample85	shoot	2	A	RD29B	target	32.2537
86	sample86	shoot	2	B	RD29B	target	33.2582
89	sample89	shoot	3	A	RD29B	target	31.6246
90	sample90	shoot	3	B	RD29B	target	32.1317
93	sample93	shoot	4	A	RD29B	target	32.9173
94	sample94	shoot	4	B	RD29B	target	33.6098
97	sample97	Root	1	A	DREB2A	target	25.0182
98	sample98	Root	1	B	DREB2A	target	24.9562
101	sample101	Root	2	A	DREB2A	target	24.5473
102	sample102	Root	2	B	DREB2A	target	24.4551
105	sample105	Root	3	A	DREB2A	target	25.2042
106	sample106	Root	3	B	DREB2A	target	23.6702
109	sample109	Root	4	A	DREB2A	target	25.6491
110	sample110	Root	4	B	DREB2A	target	24.464
113	sample113	shoot	1	A	DREB2A	target	25.4164
114	sample114	shoot	1	B	DREB2A	target	25.2792
117	sample117	shoot	2	A	DREB2A	target	28.8261
118	sample118	shoot	2	B	DREB2A	target	28.0167
121	sample121	shoot	3	A	DREB2A	target	28.0494
122	sample122	shoot	3	B	DREB2A	target	25.7055
125	sample125	shoot	4	A	DREB2A	target	25.4173
126	sample126	shoot	4	B	DREB2A	target	24.8615
129	sample129	Root	1	A	RAB18	target	28.3984
130	sample130	Root	1	B	RAB18	target	28.4734
133	sample133	Root	2	A	RAB18	target	31.17
134	sample134	Root	2	B	RAB18	target	30.187
137	sample137	Root	3	A	RAB18	target	28.3611
138	sample138	Root	3	B	RAB18	target	28.4012
141	sample141	Root	4	A	RAB18	target	30.165
142	sample142	Root	4	B	RAB18	target	30.1072
145	sample145	shoot	1	A	RAB18	target	24.5302
146	sample146	shoot	1	B	RAB18	target	24.017
149	sample149	shoot	2	A	RAB18	target	27.7872
150	sample150	shoot	2	B	RAB18	target	27.3559
153	sample153	shoot	3	A	RAB18	target	24.351
154	sample154	shoot	3	B	RAB18	target	24.3376
157	sample157	shoot	4	A	RAB18	target	23.8521
158	sample158	shoot	4	B	RAB18	target	23.4832
