wells	sampleids	xp_factor	biol_rep	gene	gene_type	ct_vals
1	sample1	wild-type	1	ACT7	reference	16.3487881075549
2	sample2	wild-type	1	DREB	reference	43.8237798864461
3	sample3	wild-type	2	SAND	reference	22.9743152168124
4	sample4	wild-type	2	ACT7	reference	14.665244336983
5	sample5	wild-type	3	DREB	reference	28.1069177062049
6	sample6	wild-type	3	SAND	reference	33.9115458724068
7	sample7	wild-type	1	ACT7	target	32.0175532970741
8	sample8	wild-type	1	DREB	target	15.1194083411661
9	sample9	wild-type	2	SAND	target	23.7976751496967
10	sample10	wild-type	2	ACT7	target	39.2578119755238
11	sample11	wild-type	3	DREB	target	20.0717067346324
12	sample12	wild-type	3	SAND	target	24.7022566576049
13	sample13	wild-type	1	ACT7	target	29.7993011378519
14	sample14	wild-type	1	DREB	target	42.4923520245737
15	sample15	wild-type	2	SAND	target	10.9493195735992
16	sample16	wild-type	2	ACT7	target	22.2329157300838
17	sample17	wild-type	3	DREB	target	13.9109886899993
18	sample18	wild-type	3	SAND	target	6.94693055955868
19	sample19	wild-type	1	ACT7	target	26.0545878508649
20	sample20	wild-type	1	DREB	target	30.2804568599187
21	sample21	wild-type	2	SAND	target	35.7872020970291
22	sample22	wild-type	2	ACT7	target	25.5581568104852
23	sample23	wild-type	3	DREB	target	30.6756457752532
24	sample24	wild-type	3	SAND	target	38.6582062709153
25	sample25	wild-type	1	ACT7	target	27.658595038315
26	sample26	wild-type	1	DREB	target	35.3700710268388
27	sample27	wild-type	2	SAND	target	35.4096049811915
28	sample28	wild-type	2	ACT7	target	28.0233215740901
29	sample29	wild-type	3	DREB	target	28.5375489787671
30	sample30	wild-type	3	SAND	target	26.346995446804
31	sample31	wild-type	1	ACT7	target	37.8642909605693
32	sample32	wild-type	1	DREB	target	34.9327112171978
33	sample33	wild-type	2	SAND	target	24.8081874816813
34	sample34	wild-type	2	ACT7	target	19.8102013458994
35	sample35	wild-type	3	DREB	target	12.1231993881887
36	sample36	wild-type	3	SAND	target	27.2002037793372
37	sample37	wild-type	1	ACT7	target	36.7206026182211
38	sample38	wild-type	1	DREB	target	25.7762054957795
39	sample39	wild-type	2	SAND	target	23.1862836664359
40	sample40	wild-type	2	ACT7	target	30.6226399603756
41	sample41	wild-type	3	DREB	target	30.699783582708
42	sample42	wild-type	3	SAND	target	27.829826478474
43	sample43	wild-type	1	ACT7	target	37.4577718998064
44	sample44	wild-type	1	DREB	target	27.5117541423064
45	sample45	wild-type	2	SAND	target	10.9342269935986
46	sample46	wild-type	2	ACT7	target	13.2327754875144
47	sample47	wild-type	3	DREB	target	11.3845352323441
48	sample48	wild-type	3	SAND	target	26.3261126315089
49	sample49	mutant	1	ACT7	target	20.4034047879338
50	sample50	mutant	1	DREB	target	23.009955923321
51	sample51	mutant	2	SAND	target	31.4658266265211
52	sample52	mutant	2	ACT7	target	22.9311542748834
53	sample53	mutant	3	DREB	target	22.318127360938
54	sample54	mutant	3	SAND	target	22.3374214563061
55	sample55	mutant	1	ACT7	target	38.7487322156897
56	sample56	mutant	1	DREB	target	45.3944113644862
57	sample57	mutant	2	SAND	target	24.6786201374963
58	sample58	mutant	2	ACT7	target	37.0970631577248
59	sample59	mutant	3	DREB	target	38.1987589496178
60	sample60	mutant	3	SAND	target	20.6957999959616
61	sample61	mutant	1	ACT7	target	16.9059428226647
62	sample62	mutant	1	DREB	target	34.9059612515495
63	sample63	mutant	2	SAND	target	25.434993364036
64	sample64	mutant	2	ACT7	target	27.0132156926078
65	sample65	mutant	3	DREB	target	12.6250097962211
66	sample66	mutant	3	SAND	target	10.5836229797097
67	sample67	mutant	1	ACT7	target	30.1950353145791
68	sample68	mutant	1	DREB	target	26.4550528630073
69	sample69	mutant	2	SAND	target	22.8715917566351
70	sample70	mutant	2	ACT7	target	16.9078853348941
71	sample71	mutant	3	DREB	target	26.5636599888646
72	sample72	mutant	3	SAND	target	35.1691693165961
73	sample73	mutant	1	ACT7	target	40.9249919096748
74	sample74	mutant	1	DREB	target	29.8368114627493
75	sample75	mutant	2	SAND	target	41.9138930270355
76	sample76	mutant	2	ACT7	target	19.6234298548533
77	sample77	mutant	3	DREB	target	8.66457988509288
78	sample78	mutant	3	SAND	target	24.7251594214169
79	sample79	mutant	1	ACT7	target	28.803637298648
80	sample80	mutant	1	DREB	target	11.9634546947265
81	sample81	mutant	2	SAND	target	25.8769888085012
82	sample82	mutant	2	ACT7	target	35.3781532891127
83	sample83	mutant	3	DREB	target	30.0705219454166
84	sample84	mutant	3	SAND	target	26.4277408743764
85	sample85	mutant	1	ACT7	target	15.4533928809396
86	sample86	mutant	1	DREB	target	26.1665542664478
87	sample87	mutant	2	SAND	target	31.8787724858794
88	sample88	mutant	2	ACT7	target	23.0391689115376
89	sample89	mutant	3	DREB	target	43.054686670094
90	sample90	mutant	3	SAND	target	22.9758716110358
91	sample91	mutant	1	ACT7	target	19.2668646832126
92	sample92	mutant	1	DREB	target	21.2667289324665
93	sample93	mutant	2	SAND	target	26.7881955351179
94	sample94	mutant	2	ACT7	target	33.5392949229574
95	sample95	mutant	3	DREB	target	29.2228254055472
96	sample96	mutant	3	SAND	target	34.1381267222173
